STATE/UT,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING,DACOITY,ROBBERY,RIOTS,FRAUD,HURT,AGAINST WOMEN,NEGLIGENCE,OTHER,TOTAL IPC CRIMES
PUNJAB,TOTAL,2006,1880,884,1182,125,10311,71,3740,5104,1307,2919,9524,32068
RAJASTHAN,TOTAL,2006,2982,2170,3940,134,41494,2318,10941,21296,10048,6234,61379,141992
SIKKIM,TOTAL,2006,39,40,16,0,319,13,48,96,20,39,214,703
TAMIL NADU,TOTAL,2006,2982,914,1812,99,31052,2298,2373,14067,3466,10792,94131,148972
TRIPURA,TOTAL,2006,207,378,210,19,1037,189,119,464,713,199,1091,3940
UTTAR PRADESH,TOTAL,2006,12020,2628,6636,304,47495,4073,7929,10412,11812,7235,41536,127001
UTTARAKHAND,TOTAL,2006,529,294,424,33,4019,528,623,854,704,524,1935,8412
WEST BENGAL,TOTAL,2006,2498,3462,2710,1440,26091,2496,2601,6299,9760,3039,23274,68052
A & N ISLANDS,TOTAL,2006,9,12,10,0,289,19,22,78,25,2,322,676
CHANDIGARH,TOTAL,2006,41,38,130,4,2691,49,294,55,145,14,983,3126
D & N HAVELI,TOTAL,2006,10,12,36,5,168,13,41,35,12,16,172,435
DAMAN & DIU,TOTAL,2006,9,6,6,8,187,29,16,18,4,26,48,288
DELHI UT,TOTAL,2006,1061,1246,2884,214,37487,120,2797,1818,2727,367,26805,57963
LAKSHADWEEP,TOTAL,2006,2,0,0,0,36,16,0,5,1,0,37,80
PUDUCHERRY,TOTAL,2006,57,18,36,2,1207,216,44,927,117,209,2441,4687
ANDHRA PRADESH,TOTAL,2007,4685,2140,4194,176,57073,3174,9196,46122,19670,12629,43586,175087
ARUNACHAL PRADESH,TOTAL,2007,99,96,136,16,1341,38,84,375,93,82,555,2286
ASSAM,TOTAL,2007,1934,2874,3942,311,18607,2981,1663,5175,3899,2875,12183,45282
BIHAR,TOTAL,2007,6404,3110,5060,764,28636,8827,3763,16288,3728,3789,44931,109420
CHHATTISGARH,TOTAL,2007,1870,1964,488,128,14821,1134,681,6801,2584,2476,19505,45845
GOA,TOTAL,2007,63,40,24,7,1302,94,101,150,43,247,934,2479
GUJARAT,TOTAL,2007,1681,632,2624,255,42293,1998,2541,10989,6811,4831,68332,123195
HARYANA,TOTAL,2007,1575,976,1602,405,26827,1315,1991,5031,3507,1545,19159,51597
HIMACHAL PRADESH,TOTAL,2007,193,318,342,5,3084,790,355,1318,705,597,7937,14222
JAMMU & KASHMIR,TOTAL,2007,1010,576,1516,18,5743,1395,641,374,1524,243,11535,21443
JHARKHAND,TOTAL,2007,2785,1710,1524,564,16448,2725,1281,3783,1461,1019,13897,38489
KARNATAKA,TOTAL,2007,2844,872,1360,420,35464,6045,4124,18963,4614,514,60853,120606
KERALA,TOTAL,2007,861,1024,510,278,16187,7756,4663,18975,6912,59,57681,108530
MADHYA PRADESH,TOTAL,2007,4822,6020,1844,252,57997,3557,2230,36643,11588,5754,98007,202386
MAHARASHTRA,TOTAL,2007,4421,2902,2624,1121,113739,9260,8220,29622,12137,11946,50159,195707
MANIPUR,TOTAL,2007,619,40,300,149,989,133,116,377,85,1,1074,3259
MEGHALAYA,TOTAL,2007,171,164,104,56,1259,69,193,124,67,68,438,2079
MIZORAM,TOTAL,2007,68,166,8,0,2078,39,102,85,68,34,330,2083
NAGALAND,TOTAL,2007,169,26,34,7,913,20,55,52,9,43,242,1180
ODISHA,TOTAL,2007,2337,1878,1602,289,18006,2394,1612,7478,4205,3771,19870,54872
PUNJAB,TOTAL,2007,1823,1038,1520,129,13100,97,3978,5663,1579,2801,10517,35793
RAJASTHAN,TOTAL,2007,3139,2476,4354,152,44632,2301,12800,19720,11114,7096,63846,148870
SIKKIM,TOTAL,2007,26,48,18,0,325,16,44,95,20,34,192,667
TAMIL NADU,TOTAL,2007,3739,1046,2540,121,30646,3028,2845,16967,4599,11485,110748,172754
TRIPURA,TOTAL,2007,198,314,226,16,1079,165,137,546,829,203,1241,4273
UTTAR PRADESH,TOTAL,2007,11040,3296,8956,519,52858,4763,12375,10694,15130,7655,51914,150258
UTTARAKHAND,TOTAL,2007,546,234,506,52,3907,496,899,886,742,608,2686,9599
WEST BENGAL,TOTAL,2007,2923,4212,3600,1296,28320,3848,3205,6909,12736,3803,27903,81102
A & N ISLANDS,TOTAL,2007,35,6,24,5,323,28,31,99,42,4,337,807
CHANDIGARH,TOTAL,2007,53,44,104,2,3708,88,210,78,156,15,999,3643
D & N HAVELI,TOTAL,2007,12,14,18,1,205,49,28,25,3,12,161,425
DAMAN & DIU,TOTAL,2007,19,2,2,4,134,34,17,20,4,32,37,260
DELHI UT,TOTAL,2007,1119,1196,3376,263,36686,118,2828,1736,2960,252,24854,56065
LAKSHADWEEP,TOTAL,2007,2,2,0,0,42,1,0,0,4,0,26,56
PUDUCHERRY,TOTAL,2007,78,18,40,3,1668,163,52,904,140,267,2537,5054
ANDHRA PRADESH,TOTAL,2008,4797,2514,3940,121,59679,2951,9762,48167,19143,12861,43929,179275
ARUNACHAL PRADESH,TOTAL,2008,111,84,158,14,1214,28,72,479,86,104,590,2374
ASSAM,TOTAL,2008,1914,2876,4478,386,19739,3043,1767,6107,4855,2259,17598,53333
BIHAR,TOTAL,2008,6479,2604,6094,746,31418,8871,4162,16644,4244,4592,54370,122669
CHHATTISGARH,TOTAL,2008,1923,1956,546,141,16770,1446,802,8565,2749,2800,21074,51442
GOA,TOTAL,2008,85,60,72,3,1527,129,174,185,58,230,886,2742
GUJARAT,TOTAL,2008,1628,748,2646,270,47805,2172,2524,10897,7071,4934,65525,123808
HARYANA,TOTAL,2008,1629,1262,1708,377,30222,1323,1953,4504,3777,1323,21460,55344
HIMACHAL PRADESH,TOTAL,2008,193,314,302,6,3209,754,396,1258,682,485,7837,13976
JAMMU & KASHMIR,TOTAL,2008,838,438,1408,3,5810,2012,502,273,1414,293,10734,20604
JHARKHAND,TOTAL,2008,2870,1582,1584,466,16674,2740,1193,2826,1450,1310,14843,38686
KARNATAKA,TOTAL,2008,3254,892,1516,518,43513,6278,4211,19159,4896,572,61755,127540
KERALA,TOTAL,2008,891,1136,506,358,16334,8446,4140,19178,7172,37,59061,110620
MADHYA PRADESH,TOTAL,2008,4808,5874,1858,284,62472,3666,1985,36344,11193,6008,100513,206556
MAHARASHTRA,TOTAL,2008,4743,3116,2758,1085,124755,10676,9581,29742,12929,12472,50183,206243
MANIPUR,TOTAL,2008,689,76,352,213,975,89,188,301,86,2,1038,3349
MEGHALAYA,TOTAL,2008,187,176,112,63,1571,36,146,204,92,64,480,2318
MIZORAM,TOTAL,2008,51,154,18,4,1838,19,106,118,83,53,378,1989
NAGALAND,TOTAL,2008,203,38,88,6,904,18,51,46,20,44,192,1202
ODISHA,TOTAL,2008,2749,2226,1816,372,19283,3590,1612,7013,5083,3535,18916,56755
PUNJAB,TOTAL,2008,1871,1034,1436,162,13914,76,3506,5597,1549,2845,10122,35314
RAJASTHAN,TOTAL,2008,3000,2710,4716,141,46387,2005,12885,21117,11091,7322,63924,151174
SIKKIM,TOTAL,2008,19,40,8,1,342,40,52,100,24,40,215,730
TAMIL NADU,TOTAL,2008,4114,1146,2750,166,34549,3421,3179,20529,4534,12328,107084,176833
TRIPURA,TOTAL,2008,210,408,292,16,1311,244,157,924,1101,195,1327,5336
UTTAR PRADESH,TOTAL,2008,10290,3742,10856,389,59407,4609,14043,11683,16878,10102,60242,168996
UTTARAKHAND,TOTAL,2008,480,174,494,18,3811,524,665,937,839,590,2280,8856
WEST BENGAL,TOTAL,2008,4031,4526,4664,1239,35743,5575,3962,9033,16609,3789,38177,105419
A & N ISLANDS,TOTAL,2008,21,24,34,0,348,31,32,107,55,4,383,882
CHANDIGARH,TOTAL,2008,51,40,100,5,4262,87,250,73,73,11,1040,3931
D & N HAVELI,TOTAL,2008,11,12,34,1,157,30,35,26,8,10,154,401
DAMAN & DIU,TOTAL,2008,4,0,8,2,147,38,7,12,8,39,36,248
DELHI UT,TOTAL,2008,1009,932,3134,158,40201,112,1889,1936,2257,726,17896,49350
LAKSHADWEEP,TOTAL,2008,1,4,2,0,19,14,0,12,1,0,53,95
PUDUCHERRY,TOTAL,2008,73,16,34,13,1476,174,68,873,100,207,2668,4989
ANDHRA PRADESH,TOTAL,2009,4442,2376,3916,129,57700,3300,9893,44488,20510,13438,48087,180441
ARUNACHAL PRADESH,TOTAL,2009,97,118,124,20,1018,80,75,526,77,110,619,2362
ASSAM,TOTAL,2009,1775,3262,5436,272,19117,2284,1984,6547,5921,2735,17973,55313
